layer,M,N,K,AI_FLOP_per_byte,compute_roof_TFLOPS,memory_roof_TFLOPS,roof_TFLOPS,predicted_bound,us,TFLOPS,effective_GB_per_s,printed_AI,compute_attainment_pct,memory_attainment_pct,roof_attainment_pct
f_b_proj,1,1536,128,0.9916074887023887,2250,7.9328599096191095,7.9328599096191095,memory,3.9,0.1,100.7,1.0,0.0,1.3,1.2605794270833333
f_b_proj,8,1536,128,7.492682926829269,2250,59.94146341463415,59.94146341463415,memory,4.1,0.8,101.5,7.5,0.0,1.3,1.3346354166666665
f_b_proj,16,1536,128,14.091743119266056,2250,112.73394495412845,112.73394495412845,memory,4.1,1.5,108.0,14.1,0.1,1.4,1.33056640625
f_b_proj,64,1536,128,41.513513513513516,2250,332.1081081081081,332.1081081081081,memory,4.1,6.1,147.3,41.5,0.3,1.8,1.8367513020833333
f_b_proj,256,1536,128,80.84210526315789,2250,646.7368421052631,646.7368421052631,memory,4.2,24.2,299.9,80.8,1.1,3.7,3.741861979166667
f_b_proj,1024,1536,128,105.93103448275862,2250,847.448275862069,847.448275862069,memory,3.9,102.5,967.6,105.9,4.6,12.1,12.095133463541666
f_b_proj,4096,1536,128,114.8411214953271,2250,918.7289719626168,918.7289719626168,memory,5.0,325.1,2830.8,114.8,14.4,35.4,35.38584391276042
f_b_proj,16384,1536,128,117.30787589498807,2250,938.4630071599046,938.4630071599046,memory,11.2,572.7,4881.9,117.3,25.5,61.0,61.025314331054695
f_b_proj,65536,1536,128,117.94121175764847,2250,943.5296940611878,943.5296940611878,memory,37.2,692.3,5869.8,117.9,30.8,73.4,73.37341944376627
q_b_proj,1,2304,1536,0.9989161066551051,2250,7.991328853240841,7.991328853240841,memory,3.9,1.8,1840.1,1.0,0.1,23.0,22.5244140625
q_b_proj,8,2304,1536,7.9311531841652325,2250,63.44922547332186,63.44922547332186,memory,5.9,9.7,1216.8,7.9,0.4,15.2,15.287814670138888
q_b_proj,16,2304,1536,15.726962457337883,2250,125.81569965870307,125.81569965870307,memory,3.8,30.1,1913.4,15.7,1.3,23.9,23.92388237847222
q_b_proj,64,2304,1536,59.84415584415584,2250,478.75324675324674,478.75324675324674,memory,3.7,121.0,2022.1,59.8,5.4,25.3,25.27398003472222
q_b_proj,256,2304,1536,200.34782608695653,2250,1602.7826086956522,1602.7826086956522,memory,3.8,474.4,2367.8,200.3,21.1,29.6,29.598524305555554
q_b_proj,1024,2304,1536,485.05263157894734,2250,3880.4210526315787,2250,compute,6.0,1213.7,2502.1,485.1,53.9,31.3,53.94222222222222
q_b_proj,4096,2304,1536,752.3265306122449,2250,6018.6122448979595,2250,compute,16.6,1748.0,2323.4,752.3,77.7,29.0,77.68888888888888
q_b_proj,16384,2304,1536,872.5207100591716,2250,6980.165680473373,2250,compute,60.6,1913.0,2192.5,872.5,85.0,27.4,85.02222222222223
q_b_proj,65536,2304,1536,908.8197226502311,2250,7270.557781201849,2250,compute,227.4,2039.5,2244.2,908.8,90.6,28.1,90.64444444444445
o_proj,1,7168,1536,0.9992100738813252,2250,7.993680591050602,7.993680591050602,memory,4.7,4.7,4675.0,1.0,0.2,58.4,58.79644484747024
o_proj,8,7168,1536,7.949722735674676,2250,63.59778188539741,63.59778188539741,memory,3.7,47.2,5936.9,7.9,2.1,74.2,74.21642485119048
o_proj,16,7168,1536,15.800146950771492,2250,126.40117560617193,126.40117560617193,memory,3.8,93.9,5941.6,15.8,4.2,74.3,74.28728376116071
o_proj,64,7168,1536,60.91784702549575,2250,487.342776203966,487.342776203966,memory,4.5,314.5,5163.3,60.9,14.0,64.5,64.53363327752976
o_proj,256,7168,1536,212.9108910891089,2250,1703.2871287128712,1703.2871287128712,memory,6.0,934.7,4389.9,212.9,41.5,54.9,54.876243954613095
o_proj,1024,7168,1536,565.8947368421053,2250,4527.1578947368425,2250,compute,16.5,1369.4,2419.8,565.9,60.9,30.2,60.86222222222222
o_proj,4096,7168,1536,966.4719101123595,2250,7731.775280898876,2250,compute,47.0,1920.7,1987.3,966.5,85.4,24.8,85.36444444444444
o_proj,16384,7168,1536,1174.2798634812286,2250,9394.238907849829,2250,compute,179.0,2015.7,1716.6,1174.3,89.6,21.5,89.58666666666667
