layer                    M      N      K        us    TFLOPS      GB/s      AI  %TCpeak      %BW
f_b_proj                 1   1536    128       3.9       0.1     100.7     1.0     0.0%     1.3%
f_b_proj                 8   1536    128       4.1       0.8     101.5     7.5     0.0%     1.3%
f_b_proj                16   1536    128       4.1       1.5     108.0    14.1     0.1%     1.4%
f_b_proj                64   1536    128       4.1       6.1     147.3    41.5     0.3%     1.8%
f_b_proj               256   1536    128       4.2      24.2     299.9    80.8     1.1%     3.7%
f_b_proj              1024   1536    128       3.9     102.5     967.6   105.9     4.6%    12.1%
f_b_proj              4096   1536    128       5.0     325.1    2830.8   114.8    14.4%    35.4%
f_b_proj             16384   1536    128      11.2     572.7    4881.9   117.3    25.5%    61.0%
f_b_proj             65536   1536    128      37.2     692.3    5869.8   117.9    30.8%    73.4%

q_b_proj                 1   2304   1536       3.9       1.8    1840.1     1.0     0.1%    23.0%
q_b_proj                 8   2304   1536       5.9       9.7    1216.8     7.9     0.4%    15.2%
q_b_proj                16   2304   1536       3.8      30.1    1913.4    15.7     1.3%    23.9%
q_b_proj                64   2304   1536       3.7     121.0    2022.1    59.8     5.4%    25.3%
q_b_proj               256   2304   1536       3.8     474.4    2367.8   200.3    21.1%    29.6%
q_b_proj              1024   2304   1536       6.0    1213.7    2502.1   485.1    53.9%    31.3%
q_b_proj              4096   2304   1536      16.6    1748.0    2323.4   752.3    77.7%    29.0%
q_b_proj             16384   2304   1536      60.6    1913.0    2192.5   872.5    85.0%    27.4%
q_b_proj             65536   2304   1536     227.4    2039.5    2244.2   908.8    90.6%    28.1%

o_proj                   1   7168   1536       4.7       4.7    4675.0     1.0     0.2%    58.4%
o_proj                   8   7168   1536       3.7      47.2    5936.9     7.9     2.1%    74.2%
o_proj                  16   7168   1536       3.8      93.9    5941.6    15.8     4.2%    74.3%
o_proj                  64   7168   1536       4.5     314.5    5163.3    60.9    14.0%    64.5%
o_proj                 256   7168   1536       6.0     934.7    4389.9   212.9    41.5%    54.9%
o_proj                1024   7168   1536      16.5    1369.4    2419.8   565.9    60.9%    30.2%
o_proj                4096   7168   1536      47.0    1920.7    1987.3   966.5    85.4%    24.8%
o_proj               16384   7168   1536     179.0    2015.7    1716.6  1174.3    89.6%    21.5%
o_proj               65536   7168   1536     686.1    2103.3    1694.8  1241.0    93.5%    21.2%

fused_qkv_a_proj         1   2112   7168       6.6       4.6    4578.1     1.0     0.2%    57.2%
fused_qkv_a_proj         8   2112   7168       6.6      36.6    4603.0     8.0     1.6%    57.5%
fused_qkv_a_proj        16   2112   7168       6.7      71.8    4532.0    15.8     3.2%    56.6%
fused_qkv_a_proj        64   2112   7168       9.2     211.2    3429.4    61.6     9.4%    42.9%
fused_qkv_a_proj       256   2112   7168      11.2     691.0    3122.7   221.3    30.7%    39.0%
fused_qkv_a_proj      1024   2112   7168      20.6    1507.4    2396.1   629.1    67.0%    30.0%
fused_qkv_a_proj      4096   2112   7168      70.7    1753.7    1503.1  1166.7    77.9%    18.8%
fused_qkv_a_proj     16384   2112   7168     269.9    1838.1    1238.9  1483.6    81.7%    15.5%
fused_qkv_a_proj     65536   2112   7168     967.0    2052.0    1289.2  1591.7    91.2%    16.1%

in_proj_qkvgfab          1   6288   7168      15.1       6.0    5965.9     1.0     0.3%    74.6%
in_proj_qkvgfab          8   6288   7168      13.1      55.2    6912.7     8.0     2.5%    86.4%
in_proj_qkvgfab         16   6288   7168      13.7     104.9    6588.4    15.9     4.7%    82.4%
in_proj_qkvgfab         64   6288   7168      12.4     466.4    7426.5    62.8    20.7%    92.8%
in_proj_qkvgfab        256   6288   7168      20.5    1126.8    4738.1   237.8    50.1%    59.2%
in_proj_qkvgfab       1024   6288   7168      62.1    1486.0    1894.8   784.2    66.0%    23.7%
in_proj_qkvgfab       4096   6288   7168     209.1    1766.0     958.4  1842.7    78.5%    12.0%
in_proj_qkvgfab      16384   6288   7168     784.3    1883.0     677.1  2781.0    83.7%     8.5%
in_proj_qkvgfab      65536   6288   7168    3457.0    1708.9     536.3  3186.7    76.0%     6.7%

dense_down_proj          1   7168   8448      24.5       4.9    4945.5     1.0     0.2%    61.8%
dense_down_proj          8   7168   8448      23.2      41.7    5223.4     8.0     1.9%    65.3%
dense_down_proj         16   7168   8448      23.8      81.6    5119.0    15.9     3.6%    64.0%
dense_down_proj         64   7168   8448      27.6     280.9    4461.8    63.0    12.5%    55.8%
dense_down_proj        256   7168   8448      29.4    1056.3    4398.4   240.1    46.9%    55.0%
dense_down_proj       1024   7168   8448      99.9    1241.1    1532.1   810.1    55.2%    19.2%
dense_down_proj       4096   7168   8448     268.7    1846.2     926.8  1991.9    82.1%    11.6%
dense_down_proj      16384   7168   8448    1069.2    1855.9     591.9  3135.6    82.5%     7.4%
dense_down_proj      65536   7168   8448    4834.3    1641.8     448.5  3661.1    73.0%     5.6%

dense_gate_up_proj       1  16896   7168      39.8       6.1    6085.9     1.0     0.3%    76.1%
dense_gate_up_proj       8  16896   7168      38.0      51.0    6386.8     8.0     2.3%    79.8%
dense_gate_up_proj      16  16896   7168      38.8      99.8    6259.5    15.9     4.4%    78.2%
dense_gate_up_proj      64  16896   7168      40.6     382.0    6044.8    63.2    17.0%    75.6%
dense_gate_up_proj     256  16896   7168      51.5    1203.3    4939.4   243.6    53.5%    61.7%
dense_gate_up_proj    1024  16896   7168     142.4    1741.4    2046.5   850.9    77.4%    25.6%
dense_gate_up_proj    4096  16896   7168     556.7    1782.1     789.2  2258.2    79.2%     9.9%
dense_gate_up_proj   16384  16896   7168    2342.7    1694.0     440.0  3850.2    75.3%     5.5%
dense_gate_up_proj   65536  16896   7168    9136.4    1737.5     371.7  4673.9    77.2%     4.6%

