stall_reason,pc,offset,sass,samples,percent_of_stall_reason
long_scoreboard,0x2b28eb5b2e30,0x37b0,@!P1  NANOSLEEP.SYNCS 0x989680,6478,90.37388392857143
long_scoreboard,0x2b28eb5b1850,0x21d0,@!P1  BRA 0x2b28eb5b2e20,433,6.040736607142857
long_scoreboard,0x2b28eb5b2de0,0x3760,@!P0  NANOSLEEP.SYNCS 0x989680,31,0.43247767857142855
long_scoreboard,0x2b28eb5b2e50,0x37d0,@!P1  BRA 0x2b28eb5b2e20,29,0.40457589285714285
long_scoreboard,0x2b28eb5b2d90,0x3710,@!P0  NANOSLEEP.SYNCS 0x989680,21,0.29296875
long_scoreboard,0x2b28eb5b2db0,0x3730,@!P0  BRA 0x2b28eb5b2d80,19,0.2650669642857143
long_scoreboard,0x2b28eb5b2e00,0x3780,@!P0  BRA 0x2b28eb5b2dd0,17,0.23716517857142858
long_scoreboard,0x2b28eb5b2ca0,0x3620,@!P1  NANOSLEEP.SYNCS 0x989680,16,0.22321428571428573
long_scoreboard,0x2b28eb5b2c20,0x35a0,@!P1  BRA 0x2b28eb5b2bf0,12,0.16741071428571427
long_scoreboard,0x2b28eb5b2cf0,0x3670,@!P0  NANOSLEEP.SYNCS 0x989680,12,0.16741071428571427
barrier,0x2b28eb5b2770,0x30f0,      UCGABAR_WAIT,1701,98.4375
barrier,0x2b28eb5b1f50,0x28d0,"      BSSY.RECONVERGENT B1, 0x2b28eb5b25f0",12,0.6944444444444444
barrier,0x2b28eb5affb0,0x930,@P0   BRA 0x2b28eb5b1430,10,0.5787037037037037
barrier,0x2b28eb5b1e60,0x27e0,@P0   BRA 0x2b28eb5b1f30,3,0.1736111111111111
barrier,0x2b28eb5b2510,0x2e90,@P0   BRA 0x2b28eb5b25e0,1,0.05787037037037037
barrier,0x2b28eb5b2670,0x2ff0,      NOP,1,0.05787037037037037
sleeping,0x2b28eb5b26e0,0x3060,      WARPSYNC.ALL,870,93.2475884244373
sleeping,0x2b28eb5b2da0,0x3720,"@!P0  SYNCS.PHASECHK.TRANS64 P0, [R2+URZ+0x8], R5",16,1.714898177920686
sleeping,0x2b28eb5b2df0,0x3770,"@!P0  SYNCS.PHASECHK.TRANS64 P0, [R23+URZ+0x8], R26",13,1.3933547695605573
sleeping,0x2b28eb5b2c60,0x35e0,"@!P0  SYNCS.PHASECHK.TRANS64 P0, [R6+URZ+0x20], R15",9,0.9646302250803859
sleeping,0x2b28eb5b2cb0,0x3630,"@!P1  SYNCS.PHASECHK.TRANS64 P1, [R6+URZ+0x20], R15",9,0.9646302250803859
sleeping,0x2b28eb5b2d00,0x3680,"@!P0  SYNCS.PHASECHK.TRANS64 P0, [R6+URZ+0x20], R11",9,0.9646302250803859
sleeping,0x2b28eb5b2c10,0x3590,"@!P1  SYNCS.PHASECHK.TRANS64 P1, [R8+URZ+0x20], R7",6,0.6430868167202572
sleeping,0x2b28eb5b2d50,0x36d0,"@!P0  SYNCS.PHASECHK.TRANS64 P0, [R24+URZ+0x48], R5",1,0.10718113612004287
