pc,offset_from_first_sass,sass,derived__memory_l1_conflicts_shared_nway,derived__memory_l1_wavefronts_shared_excessive,inst_executed,memory_access_size_type,memory_access_type,memory_l1_wavefronts_shared,memory_l1_wavefronts_shared_ideal,memory_type,smsp__pcsamp_sample_count,smsp__pcsamp_warps_issue_stalled_barrier,smsp__pcsamp_warps_issue_stalled_barrier_not_issued,smsp__pcsamp_warps_issue_stalled_branch_resolving,smsp__pcsamp_warps_issue_stalled_branch_resolving_not_issued,smsp__pcsamp_warps_issue_stalled_dispatch_stall,smsp__pcsamp_warps_issue_stalled_dispatch_stall_not_issued,smsp__pcsamp_warps_issue_stalled_drain,smsp__pcsamp_warps_issue_stalled_drain_not_issued,smsp__pcsamp_warps_issue_stalled_lg_throttle,smsp__pcsamp_warps_issue_stalled_lg_throttle_not_issued,smsp__pcsamp_warps_issue_stalled_long_scoreboard,smsp__pcsamp_warps_issue_stalled_long_scoreboard_not_issued,smsp__pcsamp_warps_issue_stalled_math_pipe_throttle,smsp__pcsamp_warps_issue_stalled_math_pipe_throttle_not_issued,smsp__pcsamp_warps_issue_stalled_membar,smsp__pcsamp_warps_issue_stalled_membar_not_issued,smsp__pcsamp_warps_issue_stalled_mio_throttle,smsp__pcsamp_warps_issue_stalled_mio_throttle_not_issued,smsp__pcsamp_warps_issue_stalled_misc,smsp__pcsamp_warps_issue_stalled_misc_not_issued,smsp__pcsamp_warps_issue_stalled_no_instructions,smsp__pcsamp_warps_issue_stalled_no_instructions_not_issued,smsp__pcsamp_warps_issue_stalled_not_selected,smsp__pcsamp_warps_issue_stalled_not_selected_not_issued,smsp__pcsamp_warps_issue_stalled_selected,smsp__pcsamp_warps_issue_stalled_selected_not_issued,smsp__pcsamp_warps_issue_stalled_short_scoreboard,smsp__pcsamp_warps_issue_stalled_short_scoreboard_not_issued,smsp__pcsamp_warps_issue_stalled_sleeping,smsp__pcsamp_warps_issue_stalled_sleeping_not_issued,smsp__pcsamp_warps_issue_stalled_tex_throttle,smsp__pcsamp_warps_issue_stalled_tex_throttle_not_issued,smsp__pcsamp_warps_issue_stalled_wait,smsp__pcsamp_warps_issue_stalled_wait_not_issued,thread_inst_executed,thread_inst_executed_true
0x2b28eb5af400,-0x280,,,,,,,,,,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,,
0x2b28eb5af470,-0x210,,,,,,,,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,,
0x2b28eb5af560,-0x120,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
0x2b28eb5af570,-0x110,,,,,,,,,,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,,
0x2b28eb5af5a0,-0xe0,,,,,,,,,,5,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
0x2b28eb5af5b0,-0xd0,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,
0x2b28eb5af5c0,-0xc0,,,,,,,,,,7,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,,
0x2b28eb5af5e0,-0xa0,,,,,,,,,,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
0x2b28eb5af610,-0x70,,,,,,,,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,,
0x2b28eb5af620,-0x60,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,
0x2b28eb5af640,-0x40,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,
0x2b28eb5af650,-0x30,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,
0x2b28eb5af660,-0x20,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,
0x2b28eb5af680,0x0,"      LDC R1, c[0x0][0x37c]",,,1776,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,56832,56832
0x2b28eb5af690,0x10,"      S2R R7, SR_TID.X",,,1776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56832,56832
0x2b28eb5af6a0,0x20,"      LDCU UR5, c[0x0][0x360]",,,1776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56832,56832
0x2b28eb5af6b0,0x30,"      S2UR UR13, SR_CgaCtaId",,,1776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56832,56832
0x2b28eb5af6c0,0x40,"      BSSY.RECONVERGENT B0, 0x2b28eb5af980",,,1776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56832,56832
0x2b28eb5af6d0,0x50,"      S2R R0, SR_TID.Y",,,1776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56832,56832
0x2b28eb5af6e0,0x60,"      LDCU UR4, c[0x0][0x364]",,,1776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56832,56832
0x2b28eb5af6f0,0x70,"      S2R R3, SR_TID.Z",,,1776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56832,56832
0x2b28eb5af700,0x80,"      SHF.R.U32.HI R155, RZ, 0x5, R7",,,1776,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,56832,56832
0x2b28eb5af710,0x90,"      SHFL.IDX PT, R155, R155, RZ, 0x1f",,,1776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56832,56832
0x2b28eb5af720,0xa0,"      IMAD R0, R3, UR4, R0",,,1776,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,56832,56832
0x2b28eb5af730,0xb0,"      UMOV UR4, 0x400",,,1776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56832,56832
0x2b28eb5af740,0xc0,"      ULEA UR12, UR13, UR4, 0x18",,,1776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56832,56832
0x2b28eb5af750,0xd0,"      IMAD R0, R0, UR5, RZ",,,1776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56832,56832
0x2b28eb5af760,0xe0,"      UIADD3 UR4, UPT, UPT, UR12, 0x400, URZ",,,1776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56832,56832
0x2b28eb5af770,0xf0,"      LOP3.LUT P0, RZ, R0, R7, RZ, 0xfc, !PT",,,1776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56832,56832
0x2b28eb5af780,0x100,"      UIADD3 UR5, UPT, UPT, UR12, 0x18400, URZ",,,1776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56832,56832
0x2b28eb5af790,0x110,"      USHF.R.U32.HI UR4, URZ, 0x4, UR4",,,1776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56832,56832
0x2b28eb5af7a0,0x120,"      USHF.R.U32.HI UR5, URZ, 0x4, UR5",,,1776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56832,56832
0x2b28eb5af7b0,0x130,"      ULOP3.LUT UR4, UR4, 0x3ffc, URZ, 0xc0, !UPT",,,1776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56832,56832
0x2b28eb5af7c0,0x140,"      ULOP3.LUT UR5, UR5, 0x3ffc, URZ, 0xc0, !UPT",,,1776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56832,56832
0x2b28eb5af7d0,0x150,"      ISETP.NE.AND P1, PT, R155, RZ, PT",,,1776,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,56832,56832
0x2b28eb5af7e0,0x160,@P0   BRA 0x2b28eb5af970,,,1776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56832,56684
0x2b28eb5af7f0,0x170,"      UMOV UR6, 0x1",,,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148,148
0x2b28eb5af800,0x180,"      UMOV UR8, 0x2",,,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148,148
0x2b28eb5af810,0x190,"      UIADD3 UR6, UPT, UPT, -UR6, 0x100000, URZ",,,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148,148
0x2b28eb5af820,0x1a0,"      USHF.L.U32 UR7, UR6, 0xb, URZ",,,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148,148
0x2b28eb5af830,0x1b0,"      USHF.L.U32 UR6, UR6, 0x1, URZ",,,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148,148
0x2b28eb5af840,0x1c0,"      UIADD3 UR8, UPT, UPT, -UR8, 0x100000, URZ",,,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148,148
0x2b28eb5af850,0x1d0,"      USHF.L.U32 UR9, UR8, 0xb, URZ",,,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148,148
0x2b28eb5af860,0x1e0,"      USHF.L.U32 UR8, UR8, 0x1, URZ",,,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148,148
0x2b28eb5af870,0x1f0,"      UMOV UR10, 0x100",,,148,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,148,148
0x2b28eb5af880,0x200,"      UIADD3 UR10, UPT, UPT, -UR10, 0x100000, URZ",,,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148,148
0x2b28eb5af890,0x210,"      USHF.L.U32 UR11, UR10, 0xb, URZ",,,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148,148
0x2b28eb5af8a0,0x220,"      USHF.L.U32 UR10, UR10, 0x1, URZ",,,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148,148
0x2b28eb5af8b0,0x230,      FENCE.VIEW.ASYNC.S,,,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148,148
0x2b28eb5af8c0,0x240,"      SYNCS.EXCH.64 URZ, [UR12+0x8], UR6",,,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148,148
0x2b28eb5af8d0,0x250,"      SYNCS.EXCH.64 URZ, [UR12+0x10], UR6",,,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148,148
