case,M,N,K,method,cache,median_ms,tflops,peak_percent,round_cv_percent,selected_candidate,sessions,all_seeds_passed,post_passed
square4096,4096,4096,4096,lt_tuned,flush256m,0.08918528055151304,1541.0497407429903,68.49109958857736,0.37580945298568996,3,[0],True,True
aligned148,2048,9472,4096,lt_tuned,flush256m,0.09349354863166809,1699.730005736169,75.5435558104964,0.857073615097912,0,[0],True,True
aligned148,2048,9472,4096,gemmex_autotune,flush256m,0.09304298808177312,1707.9609460987508,75.9093753821667,1.020727133427239,,[0],True,True
tail152,2048,9728,4096,lt_tuned,flush256m,0.10364458541075389,1574.6964166163366,69.98650740517051,0.6118169719092085,0,[0],True,True
tail152,2048,9728,4096,gemmex_autotune,flush256m,0.10368277197082837,1574.1164529621135,69.9607312427606,0.6585025570872938,,[0],True,True
aligned148_k8192,2048,9472,8192,lt_tuned,flush256m,0.18181845267613728,1748.049085370493,77.69107046091081,1.4440302659377955,3,[0],True,True
square8192,8192,8192,8192,lt_tuned,steady,0.7340539733568827,1497.862102357205,66.57164899365355,4.873415343781083,1,[0],True,True
square8192,8192,8192,8192,torch_default,steady,0.7641516776879629,1438.8656858056124,63.94958603580499,2.4545248913686293,,[0],True,True
square12288,12288,12288,12288,lt_tuned,steady,2.5915129682519935,1431.9248212163159,63.641103165169596,0.8421604473915619,0,[0],True,True
square12288,12288,12288,12288,torch_default,steady,2.578929128781171,1438.9118732773347,63.95163881232599,0.8063391598285461,,[0],True,True
square16384,16384,16384,16384,lt_tuned,steady,6.320828651127062,1391.60440943761,61.84908486389378,0.4149743425720653,3,[0],True,True
square16384,16384,16384,16384,torch_default,steady,6.183351785708696,1422.544491571386,63.22419962539494,0.9780950727781852,,[0],True,True
