version,technique,median_of_round_means_ms,tflops,speedup_v1,percent_cublas_throughput,min_round_mean_ms,max_round_mean_ms,round_cv_percent,round_count,calls_per_round,sample_count,validation_passed,validated_seeds,max_abs_error,max_rms_error,max_relative_l2_error,mismatch_count
v1,同步加载 + MMA（全矩阵适配）,64.23821411132812,2.139520149701099,1.0,0.13981708880590074,64.2277114868164,64.28756408691406,0.036393591772686106,5,5,25,True,"0,1,2",0.25,0.0015829846961423755,2.473618405929301e-05,0
v2,K 循环在 TMEM 累加（全矩阵适配）,48.06161270141602,2.859640901478753,1.3365804953406297,0.18687679381327563,48.03790054321289,48.084844970703124,0.03469457643459581,5,5,25,True,"0,1,2",0.25,0.003582075936719775,5.595159382210113e-05,0
v3,空间分块、多 CTA,0.4981761611998081,275.8842437201167,128.94678452019207,18.02896402249504,0.498041759878397,0.49828816145658494,0.01911837538771945,5,200,1000,True,"0,1,2",0.25,0.003582075936719775,5.595159382210113e-05,0
v4,TMA 异步加载,0.4919291192293167,279.38771684693,130.5842886714396,18.25791508583005,0.49188431963324547,0.49202783972024916,0.011616674201170015,5,200,1000,True,"0,1,2",0.25,0.003582075936719775,5.595159382210113e-05,0
v5,软件流水线,0.25889488115906717,530.867790265642,248.12469765232487,34.69207288659238,0.2588084816932678,0.2590219193696976,0.031352635994253565,5,200,1000,True,"0,1,2",0.25,0.003582075936719775,5.595159382210113e-05,0
v6,持久化 kernel,0.2190192011743784,627.5201111822796,293.2994630922018,41.00827707788539,0.21883056104183196,0.21910016104578972,0.05404860814461469,5,200,1000,True,"0,1,2",0.25,0.003582075936719775,5.595159382210113e-05,0
v7,Warp specialization,0.2257327986508608,608.8568178547052,284.5763420081673,39.788635682614306,0.22552127815783024,0.22574351951479912,0.04168603795559028,5,200,1000,True,"0,1,2",0.25,0.003582075936719775,5.595159382210113e-05,0
v8,双 CTA cluster,0.10980688035488129,1251.6424565365623,585.010829045673,81.79451103709248,0.10949823934584856,0.11003376044332981,0.21430116368487379,5,200,1000,True,"0,1,2",0.25,0.003582075936719775,5.595159382210113e-05,0
v9,多消费者,0.09376208145171404,1465.8266043590218,685.1193266694892,95.79138973958689,0.09369520161300898,0.09429520186036826,0.26065751672385695,5,200,1000,True,"0,1,2",0.25,0.003582075936719775,5.595159382210113e-05,0
cuBLAS,cuBLAS / torch.mm,0.0898160008713603,1530.2279342057109,715.2201555192134,100.0,0.08936528075486422,0.09061776112765074,0.5322277208757579,5,200,1000,True,"0,1,2",0.25,0.003582075936719775,5.595159382210113e-05,0
